CrashConditionsKey,LocalCaseNumber,StreetName,StreetType,TrafficControl,CollisionType,Weather,SurfaceCondition,Light
78,15000345,SPUR TO TUCKERMAN LA,Unknown,SCHOOL ZONE SIGN DEVICE,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT
79,15000347,CLARKSBURG SQUARE RD & CLARKSMEADE DR,NULL,NO CONTROLS,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT
80,15000348,CLOPPER RD,Maryland (State),NO CONTROLS,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT
81,15000349,GERMANTOWN RD,Maryland (State),N/A,SAME DIR REAR END,N/A,DRY,DAYLIGHT
82,15000357,OVERLOOK DR,County,NO CONTROLS,SAME DIR REAR END,CLEAR,DRY,DARK NO LIGHTS
83,15000363,ELKIN ST,County,TRAFFIC SIGNAL,SAME DIR REAR END,CLEAR,N/A,DAYLIGHT
84,15000368,LONE OAK DR,County,TRAFFIC SIGNAL,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT
85,15000369,NULL,NULL,NO CONTROLS,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT
86,15000370,NULL,NULL,NO CONTROLS,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT
87,15000376,MOORLAND LA,County,NO CONTROLS,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT
88,15000377,NULL,NULL,NO CONTROLS,SAME DIR REAR END,CLEAR,N/A,DARK LIGHTS ON
89,15000383,CHOKE CHERRY RD,Municipality,TRAFFIC SIGNAL,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON
90,15000387,GEORGIA AVE,Maryland (State),TRAFFIC SIGNAL,OTHER,CLEAR,DRY,DARK LIGHTS ON
91,15000388,ODENDHAL AVE,Other Public Roadway,NO CONTROLS,SINGLE VEHICLE,CLEAR,DRY,DARK NO LIGHTS
92,15000389,JONES BRIDGE RD,County,STOP SIGN,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON
93,15000390,SLIGO CREEK PKWY,Government,OTHER,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DARK LIGHTS ON
94,15000391,NULL,NULL,TRAFFIC SIGNAL,SAME DIRECTION SIDESWIPE,RAINING,WET,DUSK
95,15000396,SHAW AVE E,County,STOP SIGN,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK -- UNKNOWN LIGHTING
96,15000401,RIDGE RD,Maryland (State),NO CONTROLS,OTHER,CLEAR,NULL,DARK LIGHTS ON
97,15000405,NEW HAMPSHIRE AVE,Maryland (State),N/A,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON
98,15000408,SHADY GROVE RD,County,NO CONTROLS,SINGLE VEHICLE,SNOW,SNOW,DARK LIGHTS ON
99,15000415,BEACH DR,Government,TRAFFIC SIGNAL,OTHER,CLEAR,DRY,DAYLIGHT
100,15000416,DUNSTER RD,Municipality,TRAFFIC SIGNAL,SINGLE VEHICLE,SNOW,SNOW,DARK LIGHTS ON
